类型,名称,仙草,毒草,链接,,,,,,,,
都市,《老衲要还俗》（校对版全本）作者：一梦黄粱,830,380,http://www.zxcs.me/post/11207,,,,,,,,
仙侠,《飞天》（校对版全本）作者：跃千愁,821,334,http://www.zxcs.me/post/10509,,,,,,,,
科幻,《星河贵族》（校对版全本）作者：奥尔良烤鲟鱼堡,803,172,http://www.zxcs.me/post/10724,,,,,,,,
科幻,《非正常人类异闻录》（校对版全本）作者：精分三代,801,189,http://www.zxcs.me/post/11109,,,,,,,,
都市,《重生野性时代》（校对版全本）作者：王梓钧,798,82,http://www.zxcs.me/post/11802,,,,,,,,
科幻,《大穿越时代》（校对版全本）作者：老老王,792,170,http://www.zxcs.me/post/10612,,,,,,,,
科幻,《学霸的黑科技系统》（校对版全本）作者：晨星LL,786,155,http://www.zxcs.me/post/11946,,,,,,,,
科幻,《守望黎明号》（校对版全本）作者：黑袍雷斯林,781,146,http://www.zxcs.me/post/10784,,,,,,,,
仙侠,《心魔》（校对版全本）作者：沁纸花青,766,151,http://www.zxcs.me/post/11213,,,,,,,,
都市,《我的时空旅舍》（校对版全本）作者：金色茉莉花,754,125,http://www.zxcs.me/post/11674,,,,,,,,
游戏,《燃钢之魂》（校对版全本）作者：阴天神隐,748,180,http://www.zxcs.me/post/11640,,,,,,,,
科幻,《废土崛起》（校对版全本）作者：通吃道人,736,104,http://www.zxcs.me/post/10909,,,,,,,,
仙侠,《一言通天》（校对版全本）作者：黑弦,735,172,http://www.zxcs.me/post/10999,,,,,,,,
仙侠,《太上章》（校对版全本）作者：徐公子胜治,725,131,http://www.zxcs.me/post/10628,,,,,,,,
仙侠,《烂柯棋缘》（校对版全本）作者：真费事,716,80,http://www.zxcs.me/post/12547,,,,,,,,
游戏,《逍遥梦路》（校对版全本）作者：文抄公,700,250,http://www.zxcs.me/post/11286,,,,,,,,
仙侠,《大泼猴》（校对版全本）作者：甲鱼不是龟,700,176,http://www.zxcs.me/post/10464,,,,,,,,
仙侠,《白袍总管》（校对版全本）作者：萧舒,683,609,http://www.zxcs.me/post/11120,,,,,,,,
都市,《重生日本之以剑称圣》（校对版全本）作者：小卒没过河,678,520,http://www.zxcs.me/post/11388,,,,,,,,
玄幻,《难道我是神》（校对版全本）作者：熊狼狗,678,163,http://www.zxcs.me/post/11395,,,,,,,,
玄幻,《明日之劫》（校对版全本）作者：熊狼狗,678,162,http://www.zxcs.me/post/11932,,,,,,,,
玄幻,《核爆中走出的强者》（校对版全本）作者：乘风御剑,677,355,http://www.zxcs.me/post/11548,,,,,,,,
玄幻,《咫尺之间人尽敌国》（校对版全本）作者：乘风御剑,677,300,http://www.zxcs.me/post/12048,,,,,,,,
都市,《手术直播间》（校对版全本）作者：真熊初墨,675,143,http://www.zxcs.me/post/11865,,,,,,,,
科幻,《我被系统托管了》（校对版全本）作者：木恒,674,266,http://www.zxcs.me/post/11569,,,,,,,,
仙侠,《剑王朝》（校对版全本）作者：无罪,671,113,http://www.zxcs.me/post/10632,,,,,,,,
